name	@lat	@lon
Zduny	51.6463268	17.3776170
Koźmin Wielkopolski	51.8256567	17.4528473
Trzemeszno	52.5600669	17.8208936
Pakość	52.8073319	18.0899612
Krapkowice	50.4747406	17.9670987
Gogolin	50.4925107	18.0176197
Krzanowice	50.0179310	18.1216249
Kłecko	52.6324247	17.4282911
Błażowa	49.8856022	22.1008013
Głuchołazy	50.3170828	17.3833809
Prudnik	50.3217212	17.5801041
Głogówek	50.3534373	17.8619329
Dobrodzień	50.7288597	18.4443360
Krzepice	50.9706951	18.7255158
Biała	50.3853609	17.6599107
Kolonowskie	50.6528574	18.3831071
Korfantów	50.4879782	17.5984184
Blachownia	50.7820239	18.9684255
Nekla	52.3656249	17.4144598
Nowe	53.6462325	18.7290468
Piechowice	50.8494747	15.5976047
Polkowice	51.5039288	16.0713371
Kowal	52.5308373	19.1499427
Brześć Kujawski	52.6048164	18.9015463
Aleksandrów Kujawski	52.8765365	18.6935744
Ciechocinek	52.8825520	18.7906883
Gniewkowo	52.8944290	18.4066817
Barcin	52.8632346	17.9472463
Pajęczno	51.1468824	18.9956984
